permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA160114,UNITED PARCEL SERVICES,1821 BEAVER AVE,PITTSBURGH,15233,150,052373,372,FLOOR TILE/MASTIC IN 2ND FLOOR VAULT,260,t,2016-02-29,2016-03-15,2,t,f,2016-03-15,RENOVATION,40.4584022851567,-80.031385265619
PAA160115,RISEN LORD PARISH SCHOOL BUILDING,3520  CALIFORNIA AVE,PITTSBURGH,15212,350,15348,310,PIPE INSULATION IN CRAWL SPACE,800,t,2016-02-23,2016-03-05,2,t,f,2016-03-05,RENOVATION,40.4786010545063,-80.0402637943766
PAA160116,DUQUESNE CLUB,325  6TH AVE,PITTSBURGH,15222,650,45443,308,O&M PLAN,0,t,2016-03-03,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4421355489082,-79.9984736562728
PAA160117,HEINZ LOFTS,1075  PROGRESS ST,PITTSBURGH,15212,650,12429,362,WINDOW CAULKING AND GLAZE THROUGHOUT BUILDING,2621,f,2016-03-03,2017-03-03,2,f,f,2017-03-03,RENOVATION,40.4549701358949,-79.9894189236474
PAA160118,UNIVERSITY OF PITTSBURGH - SPACE RESEARCH,4107 OHARA ST,PITTSBURGH,15213,350,2853247,301,"FLOOR TILE/MASTIC IN ROOMS 305,310 AND 311",725,t,2016-03-14,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4454464220957,-79.9572152598166
PAA160119,UPMC/IROQUIS BUILDING,3600  5TH AVE,PITTSBURGH,15213,650,4252,326,FLOOR TILE/MASTIC ON 2ND FLOOR CORRIDOR AND OFFICES,2000,t,2016-03-21,2016-05-31,2,t,f,2016-03-11,RENOVATION,40.4411824033977,-79.9588956703425
PAA160120,UPMC PRESBYTERIAN HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213,650,4674,317,FLOOR TILE MASTIC ON MEZZANINE,3300,t,2016-03-14,2016-03-31,2,t,f,2016-03-31,RENOVATION,40.4422470230786,-79.9609286975283
PAA160121,WATCO COMPANIES DRAVOSBURG LIQUIDS TERMINAL,702 WASHINGTON AVE,DRAVOSBURG,15034,650,052424,372,PIPE/TANK INSULATION THROUGHOUT PLANT,400,t,2016-03-03,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.3541480413527,-79.880791441415
PAA160122,ROGERS PRIMARY SCHOOL - SHALER AREA SCHOOL DISTRICT,705 SCOTT AVE,SHALER,15116,650,4251,326,"FLOOR TILE THROUGHOUT BASEMENT AND 1ST FLOOR,MASTIC GLASSROOMS/HALLWAY/BASEMENT,GASKETS/INSULATION/BREECHING IN BOILER ROOM,PIPE INSULATION/FITTINGS/SINK COATING/CABINET DOORS IN BASEMENT AND 1ST FLOOR",27895,f,2016-03-14,2017-03-13,2,f,f,2017-03-13,RENOVATION,40.5385142218206,-79.9831286859445
PAA160123,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,650,4678,317,O&M PLAN,0,t,2016-03-01,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4360439740714,-79.9854587006851
PAA160124,LINCOLN PARK COMMUNITY CENTER,7300  RIDGEVIEW AVE,PENN HILLS,15235,650,45469,308,FLOOR TILE/MASTIC IN 1ST FLOOR CUPBOARDS AND FLOOR TILE ON 2ND FLOOR ROOMS 3 AND 4,2200,t,2016-03-14,2016-04-30,2,t,f,2016-04-30,RENOVATION,40.4675849867224,-79.8857367862613
PAA160125,ALCOA BLDG,425 6TH AVE,PITTSBURGH,15219,650,25815,429,O&M PLAN,0,t,2016-02-21,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4415154144528,-79.9968138021924
PAA160126,UNIVERSITY OF PITTSBURGH - SALK HALL,3501  TERRACE ST,PITTSBURGH,15213,350,2852828,371,"FLOOR TILE/MASTIC IN ROOMS 548,549,555 AND LAB TOP/HOOD IN ROOM 537",11874,t,2016-03-07,2016-12-20,2,t,f,2016-12-20,RENOVATION,40.4426888828033,-79.9628372268336
PAA160127,SCHENLY HIGH SCHOOL,4101  BIGELOW BLVD,PITTSBURGH,15213,650,25815,429,O&M PLAN,0,t,2016-03-21,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.450131828827,-79.9546027562139
PAA160128,PITTSBURGH VALUE AND FITTINGS COMPANY,49  MEADE AVE,PITTSBURGH,15202,350,011797,321,VAT/MASTIC IN CONFERENCE ROOM,500,t,2016-03-14,2016-03-31,2,t,f,2016-03-31,RENOVATION,40.4948553175913,-80.057383672865
PAA160129,,100 N LEXINGTON ST,PITTSBURGH,15208,300,241,335,VAT ON 2ND FLOOR AND ROOFING,2300,f,2016-03-09,2016-03-21,2,t,f,2016-03-21,RENOVATION,40.4486903602394,-79.8997488703973
PAA160130,CMU,5000 FORBES AVE,PITTSBURGH,15213,650,10542,345,O&M PLAN,0,t,2016-01-01,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4442129846549,-79.94339909741
PAA160131,EAST MINSTER PRESBYTERIAN CHURCH,250 N HIGHLAND AVE,PITTSBURGH,15206,650,10551,345,ACOUSTICAL PLASTER CEILING AND PIPE INSULATION IN EAST ENTRY RENOVATION AREA,1620,t,2016-03-24,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4632511594384,-79.9234441379165
PAA160265,CHARTIERS VALLEY HIGH SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,650,14613,360,FLOOR TILE/MASTIC IN AUDITORIUM,6800,t,2016-06-13,2017-06-13,2,t,f,2017-06-13,RENOVATION,40.378788791577,-80.1025406961975
PAA160266,UNIVERSITY OF PITTSBURGH - RUSKIN HALL,120 RUSKIN AVE,PITTSBURGH,15213,650,62554,433,CAULKING ON NORTH AND WEST ELEVATION,10000,f,2016-05-31,2016-07-29,2,t,f,2016-07-29,RENOVATION,40.4470147305007,-79.953217996751
PAA160267,NORTH HILLS VILLAGE MALL,4801 MCKNIGHT RD,PITTSBURGH,15237,650,10624,345,FLOOR TILE ON MAINTENANCE SPACE AND ADJACENT HALLWAY,1150,t,2015-06-15,2016-08-31,2,t,f,2016-08-31,RENOVATION,40.5263718761891,-80.0087975768532
PAA160268,NORTHVIEW HEIGHTS SENIOR CENTER,533  MT PLEASANT RD,PITTSBURGH,15214,650,14618,360,MASTIC IN GYMNASIUM,4000,t,2016-06-13,2017-06-13,2,t,f,2017-06-13,RENOVATION,40.4776782818623,-79.9997959758016
PAA160269,UNIVERSITY OF PITTSBURGH CATHEDRAL OF LEARNING,4200 5TH AVE,PITTSBURGH,15213,350,3944,316,CEILING GLUE IN ROOM G26,450,t,2016-06-08,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4443102647694,-79.9531966404474
PAA160270,WEST PENN HOSPITAL,4800 FRIENDSHIP AVE,PITTSBURGH,15224,650,3942,316,"VAT/MASTIC ON 4TH FLOOR WAITING ROOM,HALLWAY,STAIRS,LOBBY,REGISTRATION AND CHART ROOM",5650,t,2016-06-02,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4621317678598,-79.9462630434165
PAA160271,UPMC PASSAVANT HOSPITAL - 9100 BABCOCK BLVD.,,MCCANDLESS,15237,350,4070,364,FLOORING AND MASTIC IN AUDITORIUM ENTRY,700,t,2016-06-10,2016-12-30,2,t,f,2016-12-30,RENOVATION,40.5569317237532,-80.0623763589045
PAA160274,ARLINGTON POOL RESIDENTIAL BUILDING,1526  FERNLEAF ST,PITTSBURGH,15210,150,7454,331,WINDOW CAULKING,165,f,2016-06-15,2016-06-19,2,t,f,2016-06-19,DEMOLITION,40.4176037907653,-79.97609910812
PAA160272,UNITARIAN UNIVERSALISTS,1240  WASHINGTON RD,MT LEBANON,15228,350,15304,412,"PIPE INSULATION IN CRAWLSPACE/STORE ROOM,DRYWALL JOINT COMPOUND IN MECHANICAL ROOM AND FLOOR TILE IN STAIRWELL",350,t,2016-06-16,2016-06-30,2,t,f,2016-06-30,RENOVATION,40.3650784853522,-80.0489997612686
PAA160273,PERRY TRADITIONAL ACADEMY,3876  PERRYSVILLE AVE,PITTSBURGH,15214,650,109329,303,"ROOFING,PIPING/FITTINGS IN ROOM 169C AND WALL/CEILING PLASTER IN ROOMS 169,169B,169C,169D,200A,200C,267,268,269,269C,270,300,373 AND 374",6025,t,2016-06-03,2016-09-01,2,f,f,2016-09-01,RENOVATION,40.4891741113195,-80.0178749293404
PAA160275,CRAFT PLACE,3224  BLVD OF THE ALLIES,PITTSBURGH,15213,650,2024,357,"VCT/LINOLEUM,PIPE INSULATION ON 1ST FLOOR  AND MEZZANINE,TAR ON 2ND FLOOR AND ROOFING",4100,f,2016-06-06,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.4357734110581,-79.9622181236285
PAA160276,,603  HARRIET ST,MCKEES ROCKS,15136,650,2021,412,"FLOOR TILE/MASTIC IN KITCHEN,WINDOW CAULKING,CHIMNEY PATCH AND JOINT PATCH",335,f,2016-06-01,2016-06-30,2,t,f,2016-06-30,RENOVATION,40.4715523322813,-80.0600561068744
PAA160277,CHAMBER OF COMMERCE BLDG,411  7TH AVE,PITTSBURGH,15219,350,4080,364,FLOOR TILE/MASTIC ON 9TH FLOOR KITCHEN AREA,1020,t,2016-06-13,2016-12-30,2,f,f,2016-12-30,RENOVATION,40.4429013742763,-79.9962852848508
PAA160278,STEEL CENTER VOTECH,565 N LEWIS RUN RD,JEFFERSON HILLS,15025,150,3576,311,ROOFING,280,f,2016-06-14,2016-07-29,2,t,f,2016-07-29,RENOVATION,40.3217849800387,-79.9374925883564
PAA160279,PARKWAY CENTER MALL,1165 MCKINNEY LN,PITTSBURGH,15220,150,15702,310,FLOOR TILE/MASTIC IN K-MART AND ROOFING,126612,t,2016-06-03,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.423008492808,-80.0350261380725
PAA160280,,4512  CENTRE AVE,PITTSBURGH,15213,350,3947,316,"VAT/MASTIC IN BASEMENT,1ST,2ND FLOORS AND PIPING IN BASEMENT,CAULKING  ON DOOR/WINDOW",970,f,2016-06-16,2016-12-31,2,t,f,2016-12-31,DEMOLITION,40.4516174108859,-79.9529675306014
PAA160158,,1500 WEST VIEW LN,ROSS,15237,350,15475,310,ROOF FLASHING,668,t,2016-04-08,2016-06-10,2,t,f,2016-06-10,RENOVATION,40.5904751542544,-80.0681504013266
PAA160159,FOOTERS CLEANERS,10  OLD CLAIRTON RD,PLEASANT HILLS,15236,350,15476,310,BACK ROOM - FLOOR TILE AND PIPE INSULATION,334,t,2016-04-11,2016-06-10,2,t,f,,RENOVATION,40.3398681121701,-79.9654938502954
PAA160160,CHICKEN DERBY,10  OLD CLAIRTON RD,PLEASANT HILLS,15236,650,15477,310,PIPE INSULATION IN BACK ROOM; FLOOR TILE THROUGHOUT,2940,t,2016-04-11,2016-06-10,2,t,f,,RENOVATION,40.3398681121701,-79.9654938502954
PAA160161,1514 AND 1518 FORBES AVE,,PITTSBURGH,15219,650,15478,357,VCT AND MASTIC; ROOFING; FIRE DOORS; ELEVATOR DOORS; EXTERIOR DOOR CAULKING,1894,f,2016-04-12,2016-06-30,2,f,f,,DEMOLITION,40.4430363968235,-80.0248548904607
PAA160162,,5301 GROVE RD,CASTLE SHANNON,15236,350,10574,345,FLOOR TILE IN FRANK'S SHOES,920,t,2016-04-13,2016-06-30,2,t,f,2016-06-30,RENOVATION,40.3592824553939,-80.0016758647222
PAA160163,UPMC MAGEE WOMENS HOSPITAL,300 HALKET ST,PITTSBURGH,15213,650,4255,326,FLOOR TILE/MASTIC IN 1100 IT CORRIDOR - 1ST FLOOR,2800,t,2016-04-15,2016-09-17,2,t,f,2016-09-17,RENOVATION,40.4370860222289,-79.9615430224765
PAA160164,PENN HIGHLAND BUILDING,5947 PENN AVE,PITTSBURGH,15206,650,1761635,323,ROOFING,11284,t,2016-04-11,2017-04-10,2,t,f,2017-04-10,RENOVATION,40.461664520039,-79.9249769754582
PAA160165,DAY FORD,3696  WILLIAM PENN HWY,MONROEVILLE,15146,150,14839,412,TRANSITE AROUND SHOWROOM EXTERIOR,1100,t,2016-03-09,2016-03-18,2,t,f,2016-03-18,RENOVATION,40.4340926892924,-79.7920334883652
PAA160166,UNIVERSITY OF PITTSBURGH APPLIED RESEARCH CENTER BLD B-4,3170 WILLIAM PITT WAY,PITTSBURGH,15238,150,15011,412,FLOOR TILE/MASTIC IN STAIRWELL,264,t,2016-04-15,2016-04-18,2,t,f,2016-04-18,RENOVATION,40.5449997734214,-79.8271432746162
PAA160167,ALLEGHENY CENTER - DOLLAR BANK,10 ALLEGHENY CENTER MALL,PITTSBURGH,15212,150,15062,412,FLOOR TILE/MASTIC IN BANK,230,f,2016-04-08,2016-04-30,2,t,f,2016-04-30,RENOVATION,40.4519174333266,-80.0070278325912
