,permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude,neighborhood
0,PAA160114,UNITED PARCEL SERVICES,1821 BEAVER AVE,PITTSBURGH,15233.0,150,052373,372,FLOOR TILE/MASTIC IN 2ND FLOOR VAULT,260,t,2016-02-29,2016-03-15,2,t,f,2016-03-15,RENOVATION,40.4584022851567,-80.031385265619,Chateau
1,PAA160115,RISEN LORD PARISH SCHOOL BUILDING,3520  CALIFORNIA AVE,PITTSBURGH,15212.0,350,15348,310,PIPE INSULATION IN CRAWL SPACE,800,t,2016-02-23,2016-03-05,2,t,f,2016-03-05,RENOVATION,40.4786010545063,-80.0402637943766,Brighton Heights
2,PAA160116,DUQUESNE CLUB,325  6TH AVE,PITTSBURGH,15222.0,650,45443,308,O&M PLAN,0,t,2016-03-03,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4421355489082,-79.9984736562728,Central Business District
3,PAA160117,HEINZ LOFTS,1075  PROGRESS ST,PITTSBURGH,15212.0,650,12429,362,WINDOW CAULKING AND GLAZE THROUGHOUT BUILDING,2621,f,2016-03-03,2017-03-03,2,f,f,2017-03-03,RENOVATION,40.4549701358949,-79.9894189236474,Troy Hill
4,PAA160118,UNIVERSITY OF PITTSBURGH - SPACE RESEARCH,4107 OHARA ST,PITTSBURGH,15213.0,350,2853247,301,"FLOOR TILE/MASTIC IN ROOMS 305,310 AND 311",725,t,2016-03-14,2016-12-31,2,t,f,2016-12-31,RENOVATION,40.4454464220957,-79.9572152598166,North Oakland
5,PAA160119,UPMC/IROQUIS BUILDING,3600  5TH AVE,PITTSBURGH,15213.0,650,4252,326,FLOOR TILE/MASTIC ON 2ND FLOOR CORRIDOR AND OFFICES,2000,t,2016-03-21,2016-05-31,2,t,f,2016-03-11,RENOVATION,40.4411824033977,-79.9588956703425,Central Oakland
6,PAA160120,UPMC PRESBYTERIAN HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213.0,650,4674,317,FLOOR TILE MASTIC ON MEZZANINE,3300,t,2016-03-14,2016-03-31,2,t,f,2016-03-31,RENOVATION,40.4422470230786,-79.9609286975283,West Oakland
9,PAA160123,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219.0,650,4678,317,O&M PLAN,0,t,2016-03-01,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4360439740714,-79.9854587006851,Bluff
11,PAA160125,ALCOA BLDG,425 6TH AVE,PITTSBURGH,15219.0,650,25815,429,O&M PLAN,0,t,2016-02-21,2016-12-31,2,f,f,2016-12-31,RENOVATION,40.4415154144528,-79.9968138021924,Central Business District
12,PAA160126,UNIVERSITY OF PITTSBURGH - SALK HALL,3501  TERRACE ST,PITTSBURGH,15213.0,350,2852828,371,"FLOOR TILE/MASTIC IN ROOMS 548,549,555 AND LAB TOP/HOOD IN ROOM 537",11874,t,2016-03-07,2016-12-20,2,t,f,2016-12-20,RENOVATION,40.4426888828033,-79.9628372268336,West Oakland
